 X-val  Y-val
  1.45  -1.38
  0.34  -1.96
  1.47  -1.31
  0.63   2.02
 -1.87  -0.11
  0.06  -2.17
 -1.05   1.81
 -1.15   1.50
  0.48   2.05
 -0.39   1.78
  0.97   1.55
  0.35   1.86
  1.90   0.24
  2.17   0.64
  1.04   1.47
 -0.78   2.16
 -2.13   0.46
  0.15  -2.00
 -1.72   1.13
 -1.97  -0.34
 -0.72  -1.84
  0.19  -2.06
 -1.49  -1.40
 -1.98   1.03
 -0.82  -2.00
 -2.35  -0.42
 -1.15   1.77
  1.24  -1.21
 -1.45   0.85
  0.40  -1.93
 -0.58  -1.72
 -1.52   1.16
 -1.48   1.38
  1.91   0.01
  0.86  -1.94
 -1.74   0.74
 -0.76   1.74
 -2.00   0.04
  1.92  -0.99
  1.36   1.46
 -0.93  -1.56
  1.30   1.62
  1.74  -0.60
 -0.50  -1.88
 -0.44   1.89
  1.93  -0.76
  0.02  -2.18
  1.05   1.79
 -0.29  -2.00
 -0.81   1.65
 -2.08  -0.97
  1.45   1.54
 -2.09  -0.66
 -1.68  -1.00
  0.36   2.02
 -1.32  -1.77
  1.98   0.19
  0.77  -1.83
  0.53  -1.82
 -1.27   1.45
  1.33   1.86
  1.67   1.19
  0.15   1.92
 -0.15   1.94
 -0.32  -2.13
 -1.00  -1.90
 -0.86   1.85
 -0.85   1.47
 -1.76  -0.77
  0.40   1.96
  0.87   1.59
  2.11   0.17
 -1.71   0.61
 -1.29   1.54
  1.86  -0.89
  0.93   1.34
  1.85   0.49
  0.02   2.07
  1.97  -1.10
  1.82   0.22
  1.47  -1.22
 -1.85  -0.18
 -2.05   0.69
 -0.36   2.08
 -0.11   2.01
  1.49   1.68
  1.61  -0.75
  0.33   1.83
  0.77  -1.80
  1.92   0.47
 -1.61  -0.97
  1.36   1.52
  0.69   2.04
  2.11  -0.02
  2.06  -0.70
 -2.04   0.91
 -1.41  -1.14
  1.60   1.28
 -0.12  -2.29
  1.82  -0.53
