 X-val  Y-val
  1.49   0.01
  1.87   1.99
  1.48   1.94
  0.12  -1.09
 -1.07   1.40
 -1.95   1.25
 -0.28  -1.06
 -0.39   0.63
  0.09   1.91
 -0.09   0.93
  0.22  -1.62
  0.17   0.00
  1.04  -0.15
  0.85  -2.00
  0.48   1.96
 -0.30   1.51
 -0.84  -1.13
  1.90   0.42
 -0.66  -0.11
 -1.12  -0.56
 -1.74   0.12
  1.93   0.26
 -1.49   1.33
 -0.71  -1.75
 -1.72   0.43
 -1.10   0.01
 -0.43  -1.36
  1.58  -1.42
 -0.62   0.55
  1.94   1.53
 -1.89  -1.87
 -0.59  -0.29
 -0.48   1.51
  1.06  -0.09
  1.76  -0.53
 -0.72  -1.04
 -0.27  -1.81
 -0.92  -1.30
  1.20   0.23
  0.55   0.12
 -1.73   0.18
  0.41  -0.80
  1.18   1.46
 -1.87   1.39
 -0.18  -0.14
  1.16   1.01
  1.95   1.13
  0.34  -0.53
 -1.84  -1.29
 -0.21  -0.99
 -1.25  -1.05
  0.51  -0.43
 -1.14  -1.97
 -1.40  -0.88
  0.14   0.15
 -1.60  -0.31
  0.92   0.13
  1.76   0.96
  1.77   1.72
 -0.50  -0.70
  0.38  -0.92
  0.65  -0.10
  0.04   0.44
 -0.12  -1.25
 -1.96  -1.89
 -1.73  -1.18
 -0.26  -1.02
 -0.27  -0.25
 -1.26   0.52
  0.12  -0.79
  0.40   1.90
  0.88   1.48
 -0.77   0.48
 -0.38  -0.65
  1.29  -1.32
  0.35   0.64
  0.83   0.86
  0.04  -1.74
  1.32   1.10
  0.88   1.55
  1.47   0.53
 -1.19   0.81
 -0.81   1.45
 -0.10   1.79
 -0.03  -0.59
  0.43  -1.76
  1.28  -0.76
  0.11  -1.32
  1.76  -0.50
  0.89   0.02
 -1.28   1.16
  0.48   1.81
  0.25  -0.84
  1.05   1.81
  1.23  -1.26
 -0.81  -0.24
 -1.45  -1.27
  0.54  -0.96
 -1.97  -1.93
  1.15  -1.01
